Datum 1. registrace,Datum 1. registrace v ČR,ZTP,ES/EU,Druh vozidla,Druh vozidla 2. ř.,Kategorie vozidla,Tovární značka,Typ,Varianta,Verze,VIN,Obchodní označení,Výrobce vozidla,Výrobce motoru,Typ motoru,Max. výkon [kW] / [min⁻¹],Palivo,Zdvihový objem [cm³],Plně elektrické vozidlo,Hybridní vozidlo,Třída hybridního vozidla,Emisní limit [EHKOSN/EHSES],Stupeň plnění emisní úrovně,Korigovaný součinitel absorbce [m⁻¹],CO2 město /mimo město/kombinované [g.km-1],Specifické CO2,Snížení emisí – NEDC,Snížení emisí – WLTP,Spotřeba předpis,Spotřeba město /mimo město/kombinovaná [l.100km⁻¹],Spotřeba při rychlosti [l.100 km⁻¹],Spotřeba el. mobil [Wh/km] – Z,Dojezd ZR [km],Výrobce karoserie,Druh (typ),Výrobní číslo karoserie,Barva,Barva doplňková,Počet míst celkem / k sezení / k stání,Celková délka/šířka/výška [mm],Rozvor [mm],Rozchod [mm],Provozní hmotnost,Největší technicky přípustná/povolená hmotnost [kg],Největší technicky přípustná/povolená hmotnost na nápravu [kg],Největší technicky přípustná/povolená hmotnost přípojného vozidla [kg] brzděného,Největší technicky přípustná/povolená hmotnost přípojného vozidla [kg] nebrzděného,Největší technicky přípustná/povolená hmotnost jízdní soupravy [kg],Hmotnosti vozidla při testu WLTP,Průměrná hodnota užitečného zatížení,Spojovací zařízení - druh,Počet náprav - z toho poháněných,Kola a pneumatiky na nápravě - rozměry/montáž [N.1; N.2; N.3; N.4],Vnější hluk vozidla [dB(A)] - stojícího při ot. [min⁻¹],Za jízdy,Nejvyšší rychlost [km.h⁻¹],Poměr Výkon/Hmotnost [kW.kg⁻¹],Inovativní technologie,Stupeň dokončení,Faktor odchylky - DE,Faktor verifikace - Vf,Účel vozidla,Další záznamy,Alternativní provedení,Číslo TP,Číslo ORV,Druh RZ,Zařazení vozidla,Status,PČV,ABS,Airbag,ASR,Brzdy nouzová,Brzdy odlehčovací,Brzdy parkovací,Brzdy provozní,Doplňkový text na TP,Hmotnosti provozní Do,Hmotnosti zatížení SZ,Hmotnosti zatížení SZ typ,Hydropohon,Objem cisterny,Zatížení střechy,Číslo motoru,Nejvyšší rychlost omezení,Ovládání brzd SZ,Ovládání brzd SZ druh,Retarder,Rok výroby,Délka do,Ložná délka,Ložná šířka,Výška do,Typ kód,RM zániku,Stupeň autonomity vozidla,Varianta RZ
1975-01-01,1982-06-09,0699-000-75,,OSOBNÍ AUTOMOBIL,SEDAN,M1,ŠKODA,ŠKODA 110 L / 717,L,,1491996,110,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA","AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",ŠKODA 717,39 / 5000,BA 92 B,1107,false,false,," / ",,0," /  / ",,,,ČSN,0 / 0 / 0,,,,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",SEDAN,1491996,MODRÁ-SVĚTLÁ,,5 / 5 / 0,4155/ 1620/ 1380,2400,"/ / / ",825,1200/ 1200,520/ 520|680/ 680|/ |/ |,0/ 0,0/ 0,0/ 0,,,.,2/ -1 ZADNÍ,155 SR 14/ 4.5J X 14|155 SR 14/ 4.5J X 14|/ |/ |,0/ 0,0,128,0,,,,,,,,AD804625,AAG266790,OSOBNÍ,RSV,ZÁNIK,768,False,,False,False,False,True,True,,,,,,0,0,212971/8,,,,,1975,,0,0,,717,STRAKONICE,Neuvedeno,
1972-05-18,1972-05-18,0699-000-75,,OSOBNÍ AUTOMOBIL,SEDAN,M1,ŠKODA,ŠKODA 110 L / 717,L,,781136,110,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA","AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",ŠKODA 717,39 / 5000,BA 92 B,1107,false,false,," / ",,0," /  / ",,,,ČSN,0 / 0 / 0,,,,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",SEDAN,781136,ZELENÁ-ZÁKLADNÍ,,5 / 5 / 0,4155/ 1620/ 1380,2400,"/ / / ",825,1200/ 1200,520/ 520|680/ 680|/ |/ |,0/ 0,0/ 0,0/ 0,,,.,2/ -1 ZADNÍ,155 SR 14/ 4.5J X 14|155 SR 14/ 4.5J X 14|/ |/ |,0/ 0,0,128,0,,,,,,,,AH615025,,OSOBNÍ,RSV,ZÁNIK,769,False,,False,False,False,True,True,Záv.zař.č.928.,,,,,0,0,773382/5,,,,,1972,,0,0,,717,ZÁBŘEH,Neuvedeno,
1970-09-10,1970-09-10,0699-000-75,,OSOBNÍ AUTOMOBIL,SEDAN,M1,ŠKODA,ŠKODA 110 L / 717,L,,9094854,110,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA","AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",ŠKODA 717,39 / 5000,BA 92 B,1107,false,false,," / ",,0," /  / ",,,,ČSN,0 / 0 / 0,,,,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",SEDAN,9094854,ZELENÁ-PASTEL,,5 / 5 / 0,4155/ 1620/ 1380,2400,"/ / / ",825,1200/ 1200,520/ 520|680/ 680|/ |/ |,0/ 0,0/ 0,0/ 0,,,.,2/ -1 ZADNÍ,155 SR 14/ 4.5J X 14|155 SR 14/ 4.5J X 14|/ |/ |,0/ 0,0,128,0,,,,,,,,AC563942,,OSOBNÍ,RSV,ZÁNIK,770,False,,False,False,False,True,True,,,,,,0,0,578587/5,,,,,1970,,0,0,,717,JIČÍN,Neuvedeno,
1979-07-02,1979-07-02,780,,OSOBNÍ AUTOMOBIL,.,M1,.,"VAZ 2101 / ",,,3062624,.,.,.,VAZ 2101,0 / 0,BA 96,1198,false,false,," / ",,0," /  / ",,,,,0 / 0 / 0,,,,.,.,3062624,BÍLÁ,,2 / 2 / 0,0/ 0/ 0,0,"/ / / ",945,1345/ 1345,0/ 0|/ |/ |/ |,0/ 0,0/ 0,0/ 0,,,.,2/ .,/ |/ |/ |/ |,0/ 0,0,0,0,,,,,,,,AF006614,AAG389739,OSOBNÍ,RSV,ZÁNIK,771,,,,False,False,False,False,,,,,,0,0,3756373,,,,,1979,,0,0,,,TŘEBÍČ,Neuvedeno,
1900-01-01,1967-08-23,197,,Motocykl malý,.,L3,.,"JAWA 50/555 / ",,,887063,.,.,.,JAWA 555,0 / 0,BA 80,49,false,false,," / ",,0," /  / ",,,,,0 / 0 / 0,,,,.,.,887063,BÍLÁ,,1 / 1 / 0,0/ 0/ 0,0,"/ / / ",57,187/ 187,0/ 0|/ |/ |/ |,0/ 0,0/ 0,0/ 0,,,.,2/ .,/ |/ |/ |/ |,0/ 0,0,0,0,,,,,,,,,,MALÝ MOTOCYKL,RSV,PROVOZOVANÉ,772,,,,False,False,False,False,,,,,,0,0,43754,,,,,1900,,0,0,,,,Neuvedeno,
1986-01-01,1987-01-27,1124,,OSOBNÍ AUTOMOBIL,.,M1,.,"VAZ 21061 / ",,,1627114,.,.,.,VAZ 2103,0 / 0,BA 96,1452,false,false,," / ",,0," /  / ",,,,,0 / 0 / 0,,,,.,.,1627114,HNĚDÁ-TMAVÁ,,5 / 5 / 0,0/ 0/ 0,0,"/ / / ",1045,1445/ 1445,0/ 0|/ |/ |/ |,0/ 0,0/ 0,0/ 0,,,.,2/ .,/ |/ |/ |/ |,0/ 0,0,0,0,,,,,,,,AI134753,,OSOBNÍ,RSV,ZÁNIK,773,,,,False,False,False,False,tz 11 v.č.41,,,,,0,0,9276823,,,,,1986,,0,0,,,DOBRUŠKA,Neuvedeno,
1900-01-01,1960-08-29,197,,Motocykl malý,.,L3,.,"JAWA 50/555 / ",,,151414,.,.,.,JAWA 555,0 / 0,BA 80,49,false,false,," / ",,0," /  / ",,,,,0 / 0 / 0,,,,.,.,151414,BÍLÁ,,1 / 1 / 0,0/ 0/ 0,0,"/ / / ",57,187/ 187,0/ 0|/ |/ |/ |,0/ 0,0/ 0,0/ 0,,,.,2/ .,/ |/ |/ |/ |,0/ 0,0,0,0,,,,,,,,,,MALÝ MOTOCYKL,RSV,PROVOZOVANÉ,774,,,,False,False,False,False,,,,,,0,0,151414,,,,,1900,,0,0,,,,Neuvedeno,
1978-05-15,1978-05-15,656-002-68,,OSOBNÍ AUTOMOBIL,.,M1,.,"FIAT 125 P 1500 115-C.6 / ",,,732940,.,.,.,115 C.076,0 / 0,BA 96,1481,false,false,," / ",,0," /  / ",,,,,0 / 0 / 0,,,,.,.,732940,ŽLUTÁ-ZÁKLADNÍ,,2 / 2 / 0,0/ 0/ 0,0,"/ / / ",1050,1450/ 1450,0/ 0|/ |/ |/ |,0/ 0,0/ 0,0/ 0,,,.,2/ .,/ |/ |/ |/ |,0/ 0,0,0,0,,,,,,,,AE855600,,OSOBNÍ,RSV,ZÁNIK,775,,,,False,False,False,False,,,,,,0,0,513083,,,,,1978,,0,0,,,MORAVSKÉ BUDĚJOVICE,Neuvedeno,
1987-01-01,1988-01-06,1872,,OSOBNÍ AUTOMOBIL,.,M1,.,"OLTCIT CLUB 11 R / ",,,UU2TA0B0002QB3497,.,.,.,G 11/631,0 / 0,BA 96,1129,false,false,," / ",,0," /  / ",,,,,0 / 0 / 0,,,,.,.,UU2TA0B0002QB3497,ČERVENÁ-ZÁKLADNÍ,,5 / 5 / 0,0/ 0/ 0,0,"/ / / ",875,1275/ 1275,0/ 0|/ |/ |/ |,0/ 0,0/ 0,0/ 0,,,.,2/ .,/ |/ |/ |/ |,0/ 0,0,0,0,,,,,,,,AI556913,AAI236854,OSOBNÍ,RSV,ZÁNIK,776,,,,False,False,False,False,iso 430/700,,,,,0,0,V877062552,,,,,1987,,0,0,,,PÍSEK,Neuvedeno,
1962-01-01,1980-06-30,329,,OSOBNÍ AUTOMOBIL,.,M1,.,"WARTBURG 311 0 00 / ",,,6211596,.,.,.,312,0 / 0,BA 80,991,false,false,," / ",,0," /  / ",,,,,0 / 0 / 0,,,,.,.,6211596,ZEL-ŽLUTÁ-ZÁKLADNÍ,,4 / 4 / 0,0/ 0/ 0,0,"/ / / ",950,1330/ 1330,0/ 0|/ |/ |/ |,0/ 0,0/ 0,0/ 0,,,.,2/ .,/ |/ |/ |/ |,0/ 0,0,0,0,,,,,,,,AB129389,,OSOBNÍ,RSV,ZÁNIK,777,,,,False,False,False,False,,,,,,0,0,6215276,,,,,1962,,0,0,,,MD (vozidlo bez RM),Neuvedeno,
