Datum 1. registrace,Datum 1. registrace v ČR,ZTP,ES/EU,Druh vozidla,Druh vozidla 2. ř.,Kategorie vozidla,Tovární značka,Typ,Varianta,Verze,VIN,Obchodní označení,Výrobce vozidla,Výrobce motoru,Typ motoru,Max. výkon [kW] / [min⁻¹],Palivo,Zdvihový objem [cm³],Plně elektrické vozidlo,Hybridní vozidlo,Třída hybridního vozidla,Emisní limit [EHKOSN/EHSES],Stupeň plnění emisní úrovně,Korigovaný součinitel absorbce [m⁻¹],CO2 město /mimo město/kombinované [g.km-1],Specifické CO2,Snížení emisí – NEDC,Snížení emisí – WLTP,Spotřeba předpis,Spotřeba město /mimo město/kombinovaná [l.100km⁻¹],Spotřeba při rychlosti [l.100 km⁻¹],Spotřeba el. mobil [Wh/km] – Z,Dojezd ZR [km],Výrobce karoserie,Druh (typ),Výrobní číslo karoserie,Barva,Barva doplňková,Počet míst celkem / k sezení / k stání,Celková délka/šířka/výška [mm],Rozvor [mm],Rozchod [mm],Provozní hmotnost,Největší technicky přípustná/povolená hmotnost [kg],Největší technicky přípustná/povolená hmotnost na nápravu [kg],Největší technicky přípustná/povolená hmotnost přípojného vozidla [kg] brzděného,Největší technicky přípustná/povolená hmotnost přípojného vozidla [kg] nebrzděného,Největší technicky přípustná/povolená hmotnost jízdní soupravy [kg],Hmotnosti vozidla při testu WLTP,Průměrná hodnota užitečného zatížení,Spojovací zařízení - druh,Počet náprav - z toho poháněných,Kola a pneumatiky na nápravě - rozměry/montáž [N.1; N.2; N.3; N.4],Vnější hluk vozidla [dB(A)] - stojícího při ot. [min⁻¹],Za jízdy,Nejvyšší rychlost [km.h⁻¹],Poměr Výkon/Hmotnost [kW.kg⁻¹],Inovativní technologie,Stupeň dokončení,Faktor odchylky - DE,Faktor verifikace - Vf,Účel vozidla,Další záznamy,Alternativní provedení,Číslo TP,Číslo ORV,Druh RZ,Zařazení vozidla,Status,PČV,ABS,Airbag,ASR,Brzdy nouzová,Brzdy odlehčovací,Brzdy parkovací,Brzdy provozní,Doplňkový text na TP,Hmotnosti provozní Do,Hmotnosti zatížení SZ,Hmotnosti zatížení SZ typ,Hydropohon,Objem cisterny,Zatížení střechy,Číslo motoru,Nejvyšší rychlost omezení,Ovládání brzd SZ,Ovládání brzd SZ druh,Retarder,Rok výroby,Délka do,Ložná délka,Ložná šířka,Výška do,Typ kód,RM zániku,Stupeň autonomity vozidla,Varianta RZ
1985-04-30,1985-04-30,1047-000-88,,OSOBNÍ AUTOMOBIL,SEDAN,M1,ŠKODA,ŠKODA 120 L TMB12M00L / TMB12M00L,L,,3106260,120,.,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",742.12 M II,36 / 5000,BA 90,1174,false,false,," / ",,0," /  / ",,,,ČSN,9 / 6.4 / 9.2,,,,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",SEDAN,3106260,BÍLÁ,,5 / 5 / 0,4200/ 1610/ 1400,2400,"/ / / ",875,1275/ 1275,540/ 540|735/ 735|/ |/ |,700/ 700,400/ 400,0/ 0,,,.,2/ -1 ZADNÍ,165 R 13/ 4.5J X 13|165 R 13/ 4.5J X 13|/ |/ |,93/ 0,80,140,0,,,,,,,,AO353863,AAH107250,OSOBNÍ,RSV,ZÁNIK,1,False,,False,True,False,True,True,,,,,,0,50,266924/2,,,,,1985,,0,0,,TMB12M00L,NYMBURK,Neuvedeno,
1988-02-23,1988-02-23,1047-000-88,,OSOBNÍ AUTOMOBIL,SEDAN,M1,ŠKODA,ŠKODA 120 L TMB12M00L / TMB12M00L,L,,3596368,120,.,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",742.12 M II,36 / 5000,BA 90,1174,false,false,," / ",,0," /  / ",,,,ČSN,9 / 6.4 / 9.2,,,,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",SEDAN,3596368,BÍLÁ,,5 / 5 / 0,4200/ 1610/ 1400,2400,"/ / / ",875,1275/ 1275,540/ 540|735/ 735|/ |/ |,700/ 700,400/ 400,0/ 0,,,.,2/ -1 ZADNÍ,165 R 13/ 4.5J X 13|165 R 13/ 4.5J X 13|/ |/ |,93/ 0,80,140,0,,,,,,,,AI593913,,OSOBNÍ,RSV,ZÁNIK,2,False,,False,True,False,True,True,,,,,,0,50,5788158/120,,,,,1988,,0,0,,TMB12M00L,KLADNO,Neuvedeno,
1988-05-26,1988-05-26,1047-000-88,,OSOBNÍ AUTOMOBIL,SEDAN,M1,ŠKODA,ŠKODA 120 L TMB12M00L / TMB12M00L,L,,TMB12MOOLJ3659963,120,.,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",742.12 M II,36 / 5000,BA 90,1174,false,false,," / ",,0," /  / ",,,,ČSN,9 / 6.4 / 9.2,,,,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",SEDAN,TMB12MOOLJ3659963,BÍLÁ,,5 / 5 / 0,4200/ 1610/ 1400,2400,"/ / / ",875,1275/ 1275,540/ 540|735/ 735|/ |/ |,700/ 700,400/ 400,0/ 0,,,.,2/ -1 ZADNÍ,165 R 13/ 4.5J X 13|165 R 13/ 4.5J X 13|/ |/ |,93/ 0,80,140,0,,,,,,,,AI659542,AAH100234,OSOBNÍ,RSV,ZÁNIK,3,False,,False,True,False,True,True,J,,,,,,50,5854801,,,,False,1988,,0,0,,TMB12M00L,ČERNOŠICE,Neuvedeno,
1979-01-01,1988-02-11,1047-000-88,,OSOBNÍ AUTOMOBIL,SEDAN,M1,ŠKODA,ŠKODA 120 L TMB12M00L / TMB12M00L,L,,J3549360,120,.,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",742.12 M II,36 / 5000,BA 90,1174,false,false,," / ",,0," /  / ",,,,ČSN,9 / 6.4 / 9.2,,,,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",SEDAN,J3549360,ŠEDÁ-ZÁKLADNÍ,,5 / 5 / 0,4200/ 1610/ 1400,2400,"/ / / ",875,1275/ 1275,540/ 540|735/ 735|/ |/ |,700/ 700,400/ 400,0/ 0,,,.,2/ -1 ZADNÍ,165 R 13/ 4.5J X 13|165 R 13/ 4.5J X 13|/ |/ |,93/ 0,80,140,0,,,,,,,,AF163422,AAF351279,OSOBNÍ,RSV,ZÁNIK,4,False,,False,True,False,True,True,do 11.02.1988 karoserie č. 2057380              do 11.02.1988 motor č. 071519/2                 od 11.02.1988 vozidlo opatřeno disky a pneu                   165 x 13,,,,,0,50,5714463/120,,,,,1979,,0,0,,TMB12M00L,MD (vozidlo bez RM),Neuvedeno,
1986-12-18,1986-12-18,1047-000-88,,OSOBNÍ AUTOMOBIL,SEDAN,M1,ŠKODA,ŠKODA 120 L TMB12M00L / TMB12M00L,L,,3382002,120,.,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",742.12 M II,36 / 5000,BA 90,1174,false,false,," / ",,0," /  / ",,,,ČSN,9 / 6.4 / 9.2,,,,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",SEDAN,3382002,ORANŽOVÁ-SVĚTLÁ,,5 / 5 / 0,4200/ 1610/ 1400,2400,"/ / / ",875,1275/ 1275,540/ 540|735/ 735|/ |/ |,700/ 700,400/ 400,0/ 0,,,.,2/ -1 ZADNÍ,165 R 13/ 4.5J X 13|165 R 13/ 4.5J X 13|/ |/ |,93/ 0,80,140,0,,,,,,,,AI264320,,OSOBNÍ,RSV,ZÁNIK,5,False,,False,True,False,True,True,,,,,,0,50,557080/2,,,,,1986,,0,0,,TMB12M00L,TŘEBOŇ,Neuvedeno,
1980-01-01,1985-08-19,1047-000-88,,OSOBNÍ AUTOMOBIL,SEDAN,M1,ŠKODA,ŠKODA 120 L TMB12M00L / TMB12M00L,L,,B2303171,120,.,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",742.12 M II,36 / 5000,BA 90,1174,false,false,," / ",,0," /  / ",,,,ČSN,9 / 6.4 / 9.2,,,,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",SEDAN,B2303171,ČERVENÁ-ZÁKLADNÍ,,5 / 5 / 0,4200/ 1610/ 1400,2400,"/ / / ",875,1275/ 1275,540/ 540|735/ 735|/ |/ |,700/ 700,400/ 400,0/ 0,,,.,2/ -1 ZADNÍ,165 R 13/ 4.5J X 13|165 R 13/ 4.5J X 13|/ |/ |,93/ 0,80,140,0,,,,,,,,AG099190,,OSOBNÍ,RSV,ZÁNIK,6,False,,False,True,False,True,True,,,,,,0,50,324912/2,,,,,1980,,0,0,,TMB12M00L,JIHLAVA,Neuvedeno,
1987-12-30,1987-12-30,1047-000-88,,OSOBNÍ AUTOMOBIL,SEDAN,M1,ŠKODA,ŠKODA 120 L TMB12M00L / TMB12M00L,L,,3568820,120,.,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",742.12 M II,36 / 5000,BA 90,1174,false,false,," / ",,0," /  / ",,,,ČSN,9 / 6.4 / 9.2,,,,"AZNP, MLADÁ BOLESLAV, ČESKÁ REPUBLIKA",SEDAN,3568820,HNĚDÁ-TMAVÁ,,5 / 5 / 0,4200/ 1610/ 1400,2400,"/ / / ",875,1275/ 1275,540/ 540|735/ 735|/ |/ |,700/ 700,400/ 400,0/ 0,,,.,2/ -1 ZADNÍ,165 R 13/ 4.5J X 13|165 R 13/ 4.5J X 13|/ |/ |,93/ 0,80,140,0,,,,,,,,AI581654,,OSOBNÍ,RSV,ZÁNIK,7,False,,False,True,False,True,True,6.12.1991 iso 50 v.č. 6076  400/700             výměna motoru dříve výměnný                     výměna podvozku dříve výměnný,,,,,0,50,5759153/120,,,,,1987,,0,0,,TMB12M00L,PÍSEK,Neuvedeno,
1981-09-04,1981-09-04,1046-001-76,,OSOBNÍ AUTOMOBIL,SEDAN,M1,ŠKODA,"ŠKODA 105 L / ",,,C2457538,105 L,"AZNP, N.P., MLADÁ BOLESLAV, ČSSR","AZNP, N.P., MLADÁ BOLESLAV, ČSSR",742.10,33.9 / 4800,BA 90,1046,false,false,," / ",,," /  / ",,,,"ČSN 7,2",9.4 / 6.4 / 8.6,7 / 80,,,,SEDAN,,ŽLUTÁ-ZÁKLADNÍ,,5 / 2+3 / 0,4160/ 1595/ 1400,2 400,"/ / / ",875,1275/ 1275,540/ 540|735/ 735|/ |/ |,600/ 600,400/ 400,"/ ",,,TŘÍDA A 50-X,2/ - 1 ZADNÍ,"165 SR 13, 155 SR 14/ 4.5 J x 13, 4.5 J x 14|165 SR 13, 155 SR 14/ 4.5 J x 13, 4.5 J x 14|/ |/ |","/ ",80,125,,,,,,,,,UF534039,UAB436519,OSOBNÍ,RSV,ZÁNIK,8,False,,False,True,False,True,True,,,50,Z,,,50,,,,,False,1981,,,,,,DĚČÍN,Neuvedeno,
1981-01-01,1981-01-01,1046-001-76,,OSOBNÍ AUTOMOBIL,.,M1,ŠKODA,"ŠKODA 105 L / ",,,C2528358,.,.,.,742.10,0 / 0,BA 90,1046,false,false,," / ",,0," /  / ",,,,,0 / 0 / 0,"0 / ",,,.,.,C2528358,MODRÁ-SVĚTLÁ,,2 / 2 / 0,0/ 0/ 0,0,"/ / / ",875,1275/ 1275,0/ 0|/ |/ |/ |,0/ 0,0/ 0,0/ 0,,,.,2/ .,/ |/ |/ |/ |,0/ 0,0,0,0,,,,,,,,UC047135,UAC095577,STD. SILNIČNÍ,RSV,ZÁNIK,9,False,,False,False,False,False,False,,,,,,0,0,561087/1,,,,False,1981,,0,0,,,PACOV,Neuvedeno,
1976-05-13,1976-05-13,780,,OSOBNÍ AUTOMOBIL,.,M1,.,"VAZ 2101 / ",,,1791217,.,.,.,VAZ 2101,0 / 0,BA 96,1198,false,false,," / ",,0," /  / ",,,,,0 / 0 / 0,,,,.,.,1791217,ŽLUTÁ-ZÁKLADNÍ,,2 / 2 / 0,0/ 0/ 0,0,"/ / / ",945,1345/ 1345,0/ 0|/ |/ |/ |,0/ 0,0/ 0,0/ 0,,,.,2/ .,/ |/ |/ |/ |,0/ 0,0,0,0,,,,,,,,AD901322,AAA578075,OSOBNÍ,RSV,PROVOZOVANÉ,10,,,,False,False,False,False,,,,,,0,0,1971255,,,,,1976,,0,0,,,,Neuvedeno,
1988-05-26,1988-05-26,1046-001-76,,OSOBNÍ AUTOMOBIL,.,M1,.,"ŠKODA 105 L / ",,,3619525,.,.,.,742.10,0 / 0,BA 90,1046,false,false,," / ",,0," /  / ",,,,,0 / 0 / 0,,,,.,.,3619525,HNĚDÁ-ZÁKLADNÍ,,2 / 2 / 0,0/ 0/ 0,0,"/ / / ",875,1275/ 1275,0/ 0|/ |/ |/ |,0/ 0,0/ 0,0/ 0,,,.,2/ .,/ |/ |/ |/ |,0/ 0,0,0,0,,,,,,,,AL614130,AAK332916,OSOBNÍ,RSV,PROVOZOVANÉ,11,,,,False,False,False,False,ČP 73562262,,,,,0,0,5812331/105,,,,,1988,,0,0,,,,Neuvedeno,
1987-01-01,1988-02-08,1046-001-76,,OSOBNÍ AUTOMOBIL,.,M1,.,"ŠKODA 105 L / ",,,TMB10M00LJ3587006,.,.,.,742.10,0 / 0,BA 90,1046,false,false,," / ",,0," /  / ",,,,,0 / 0 / 0,,,,.,.,TMB10M00LJ3587006,HNĚDÁ-ZÁKLADNÍ,,2 / 2 / 0,0/ 0/ 0,0,"/ / / ",875,1275/ 1275,0/ 0|/ |/ |/ |,0/ 0,0/ 0,0/ 0,,,.,2/ .,/ |/ |/ |/ |,0/ 0,0,0,0,,,,,,,,AI572486,AAA031055,OSOBNÍ,RSV,ZÁNIK,12,,,,False,False,False,False,,,,,,0,0,5777619/105,,,,,1987,,0,0,,,ŠLAPANICE,Neuvedeno,
1971-01-01,1983-07-27,1046-001-76,,OSOBNÍ AUTOMOBIL,.,M1,.,"ŠKODA 105 L / ",,,1867965,.,.,.,742.10,0 / 0,BA 90,1046,false,false,," / ",,0," /  / ",,,,,0 / 0 / 0,,,,.,.,1867965,BÍLÁ,,2 / 2 / 0,0/ 0/ 0,0,"/ / / ",875,1275/ 1275,0/ 0|/ |/ |/ |,0/ 0,0/ 0,0/ 0,,,.,2/ .,/ |/ |/ |/ |,0/ 0,0,0,0,,,,,,,,AC853664,AAD404348,OSOBNÍ,RSV,ZÁNIK,13,,,,False,False,False,False,"Přestavba                                       pohon vozidla PB + BA TYP AGC 02-02 JE SH. S TY-PEM,JEHOž TECHN.ZP. BYLA SCHV. MDčR.č.1632 Z    23.2.1996 A ROZH.MD čR J.J. 18195-222 ZE DNE    123.2.1996  spoludrž.zemřel-děd.2D 636/96_24",,,,,0,0,869324/1,,,,,1971,,0,0,,,HUMPOLEC,Neuvedeno,
1972-01-01,1978-06-29,1046-001-76,,OSOBNÍ AUTOMOBIL,.,M1,.,"ŠKODA 105 L / ",,,A2186380,.,.,.,742.10,0 / 0,BA 90,1046,false,false,," / ",,0," /  / ",,,,,0 / 0 / 0,,,,.,.,A2186380,ZELENÁ-ZÁKLADNÍ,,2 / 2 / 0,0/ 0/ 0,0,"/ / / ",875,1275/ 1275,0/ 0|/ |/ |/ |,0/ 0,0/ 0,0/ 0,,,.,2/ .,/ |/ |/ |/ |,0/ 0,0,0,0,,,,,,,,AN020385,AAB843633,OSOBNÍ,RSV,ZÁNIK,14,,,,False,False,False,False,Přestavba karoserie na š 742 a výměna motoru    za š 105 pod čj.ořp-25-177/ds-92,,,,,0,0,281252/1,,,,,1972,,0,0,,,MD (vozidlo bez RM),Neuvedeno,
1977-01-01,1987-07-14,870,,OSOBNÍ AUTOMOBIL,.,M1,.,"VAZ 2103 / ",,,224067,.,.,.,VAZ 2103,0 / 0,BA 96,1452,false,false,," / ",,0," /  / ",,,,,0 / 0 / 0,,,,.,.,224067,ČERVENÁ-ZÁKLADNÍ,,5 / 5 / 0,0/ 0/ 0,0,"/ / / ",1020,1420/ 1420,0/ 0|/ |/ |/ |,0/ 0,0/ 0,0/ 0,,,.,2/ .,/ |/ |/ |/ |,0/ 0,0,0,0,,,,,,,,AE151424,AAG603148,OSOBNÍ,RSV,PROVOZOVANÉ,15,,,,False,False,False,False,zástavní právo - komerční banka chomutov,,,,,0,0,962686,,,,,1977,,0,0,,,,Neuvedeno,
1964-01-01,1969-11-28,,,OSOBNÍ AUTOMOBIL,.,M1,.,"ŠKODA 120 L / ",,,C2569879,.,.,.,ŠKODA 742.12,0 / 0,BA 91,1174,false,false,," / ",,0," /  / ",,,,,0 / 0 / 0,,,,.,.,C2569879,ČERVENÁ-SVĚTLÁ,,5 / 5 / 0,0/ 0/ 0,0,"/ / / ",875,1275/ 1275,0/ 0|/ |/ |/ |,0/ 0,0/ 0,0/ 0,,,.,2/ .,/ |/ |/ |/ |,0/ 0,0,0,0,,,,,,,,AO434416,AAJ156297,OSOBNÍ,RSV,ZÁNIK,16,,,,False,False,False,False,"t.z. 400/700 kg, v.č. 5/6 16680                 Škoda 1000 MB s kar. 120 L",,,,,0,0,5953556/120,,,,,1964,,0,0,,,PARDUBICE,Neuvedeno,
1981-01-01,1988-11-30,,,OSOBNÍ AUTOMOBIL,.,M1,.,"ŠKODA 120 L / ",,,C2458715,.,.,.,ŠKODA 742.12,0 / 0,BA 91,1174,false,false,," / ",,0," /  / ",,,,,0 / 0 / 0,,,,.,.,C2458715,ČERVENÁ-ZÁKLADNÍ,,5 / 5 / 0,0/ 0/ 0,0,"/ / / ",875,1275/ 1275,0/ 0|/ |/ |/ |,0/ 0,0/ 0,0/ 0,,,.,2/ .,/ |/ |/ |/ |,0/ 0,0,0,0,,,,,,,,AN563512,AAF620035,OSOBNÍ,RSV,ZÁNIK,17,,,,False,False,False,False,,,,,,0,0,797865/2,,,,,1981,,0,0,,,MD (vozidlo bez RM),Neuvedeno,
1973-01-01,1988-08-15,780,,OSOBNÍ AUTOMOBIL,.,M1,.,"VAZ 2101 / ",,,646149,.,.,.,VAZ 2101,0 / 0,BA 96,1198,false,false,," / ",,0," /  / ",,,,,0 / 0 / 0,,,,.,.,646149,ŠEDÁ-TMAVÁ,,2 / 2 / 0,0/ 0/ 0,0,"/ / / ",945,1345/ 1345,0/ 0|/ |/ |/ |,0/ 0,0/ 0,0/ 0,,,.,2/ .,/ |/ |/ |/ |,0/ 0,0,0,0,,,,,,,,AD206418,,OSOBNÍ,RSV,ZÁNIK,18,,,,False,False,False,False,,,,,,0,0,675319,,,,,1973,,0,0,,,KRNOV,Neuvedeno,
1974-01-01,1983-06-13,780,,OSOBNÍ AUTOMOBIL,.,M1,.,"VAZ 2101 / ",,,1875092,.,.,.,VAZ 2101,0 / 0,BA 96,1198,false,false,," / ",,0," /  / ",,,,,0 / 0 / 0,,,,.,.,1875092,ČERVENÁ-ZÁKLADNÍ,,2 / 2 / 0,0/ 0/ 0,0,"/ / / ",945,1345/ 1345,0/ 0|/ |/ |/ |,0/ 0,0/ 0,0/ 0,,,.,2/ .,/ |/ |/ |/ |,0/ 0,0,0,0,,,,,,,,AD451728,,OSOBNÍ,RSV,ZÁNIK,19,,,,False,False,False,False,,,,,,0,0,2142758,,,,,1974,,0,0,,,BLANSKO,Neuvedeno,
1975-12-29,1975-12-29,870,,OSOBNÍ AUTOMOBIL,.,M1,.,"VAZ 2103 / ",,,415697,.,.,.,VAZ 2103,0 / 0,BA 96,1452,false,false,," / ",,0," /  / ",,,,,0 / 0 / 0,,,,.,.,415697,ORANŽOVÁ-TMAVÁ,,5 / 5 / 0,0/ 0/ 0,0,"/ / / ",1020,1420/ 1420,0/ 0|/ |/ |/ |,0/ 0,0/ 0,0/ 0,,,.,2/ .,/ |/ |/ |/ |,0/ 0,0,0,0,,,,,,,,AD869850,AAJ915099,OSOBNÍ,RSV,ZÁNIK,20,,,,False,False,False,False,,,,,,0,0,418380,,,,,1975,,0,0,,,PŘEROV,Neuvedeno,
1977-03-01,1977-03-01,870,,OSOBNÍ AUTOMOBIL,.,M1,.,"VAZ 2103 / ",,,0685623,.,.,.,VAZ 2103,0 / 0,BA 96,1452,false,false,," / ",,0," /  / ",,,,,0 / 0 / 0,,,,.,.,0685623,MODRÁ-ZÁKLADNÍ,,5 / 5 / 0,0/ 0/ 0,0,"/ / / ",1020,1420/ 1420,0/ 0|/ |/ |/ |,0/ 0,0/ 0,0/ 0,,,.,2/ .,/ |/ |/ |/ |,0/ 0,0,0,0,,,,,,,,AD862605,,OSOBNÍ,RSV,ZÁNIK,21,,,,False,False,False,False,tažné zařízení v.č. 0112,,,,,0,0,0735915,,,,,1977,,0,0,,,RAKOVNÍK,Neuvedeno,
1981-09-02,1981-09-02,1046-001-76,,OSOBNÍ AUTOMOBIL,.,M1,.,"ŠKODA 105 L / ",,,B2446073,.,.,.,742.10,0 / 0,BA 90,1046,false,false,," / ",,0," /  / ",,,,,0 / 0 / 0,,,,.,.,B2446073,ŽLUTÁ-ZÁKLADNÍ,,2 / 2 / 0,0/ 0/ 0,0,"/ / / ",875,1275/ 1275,0/ 0|/ |/ |/ |,0/ 0,0/ 0,0/ 0,,,.,2/ .,/ |/ |/ |/ |,0/ 0,0,0,0,,,,,,,,AG470581,,OSOBNÍ,RSV,ZÁNIK,22,,,,False,False,False,False,,,,,,0,0,477350/1,,,,,1981,,0,0,,,MD (vozidlo bez RM),Neuvedeno,
1987-01-01,1988-03-22,1046-001-76,,OSOBNÍ AUTOMOBIL,.,M1,.,"ŠKODA 105 L / ",,,TMB10MOOLJ3588565,.,.,.,742.10,0 / 0,BA 90,1046,false,false,," / ",,0," /  / ",,,,,0 / 0 / 0,,,,.,.,TMB10MOOLJ3588565,HNĚDÁ-ZÁKLADNÍ,,2 / 2 / 0,0/ 0/ 0,0,"/ / / ",875,1275/ 1275,0/ 0|/ |/ |/ |,0/ 0,0/ 0,0/ 0,,,.,2/ .,/ |/ |/ |/ |,0/ 0,0,0,0,,,,,,,,AI572966,,OSOBNÍ,RSV,ZÁNIK,23,,,,False,False,False,False,,,,,,0,0,5779296/105,,,,,1987,,0,0,,,ÚSTÍ NAD ORLICÍ,Neuvedeno,
1989-01-02,1989-01-02,800-001-71,,OSOBNÍ AUTOMOBIL,.,M1,.,"DACIA 1310 / ",,,2269873,.,.,.,810-99,0 / 0,BA 96,1289,false,false,," / ",,0," /  / ",,,,,0 / 0 / 0,,,,.,.,2269873,ZELENÁ-SVĚTLÁ,,5 / 5 / 0,0/ 0/ 0,0,"/ / / ",960,1360/ 1360,0/ 0|/ |/ |/ |,0/ 0,0/ 0,0/ 0,,,.,2/ .,/ |/ |/ |/ |,0/ 0,0,0,0,,,,,,,,AI306060,AAC794304,OSOBNÍ,RSV,ZÁNIK,24,,,,False,False,False,False,26.1.95 OTP: AAA 415983,,,,,0,0,1139149,,,,,1989,,0,0,,,MD (vozidlo bez RM),Neuvedeno,
1976-03-31,1976-03-31,,,OSOBNÍ AUTOMOBIL,.,M1,.,"ŠKODA 120 L / ",,,K3772841,.,.,.,ŠKODA 742.12,0 / 0,BA 91,1174,false,false,," / ",,0," /  / ",,,,,0 / 0 / 0,,,,.,.,K3772841,ŠEDÁ-ZÁKLADNÍ,,5 / 5 / 0,0/ 0/ 0,0,"/ / / ",875,1275/ 1275,0/ 0|/ |/ |/ |,0/ 0,0/ 0,0/ 0,,,.,2/ .,/ |/ |/ |/ |,0/ 0,0,0,0,,,,,,,,AD811314,AAG297871,OSOBNÍ,RSV,ZÁNIK,25,,,,False,False,False,False,přestavba škoda 110 l,,,,,0,0,562848/2,,,,,1976,,0,0,,,MD (vozidlo bez RM),Neuvedeno,
1985-01-01,1986-04-30,1046-001-76,,OSOBNÍ AUTOMOBIL,.,M1,.,"ŠKODA 105 L / ",,,TMB10M00LG3221866,.,.,.,742.10,0 / 0,BA 90,1046,false,false,," / ",,0," /  / ",,,,,0 / 0 / 0,,,,.,.,TMB10M00LG3221866,HNĚDÁ-TMAVÁ,,2 / 2 / 0,0/ 0/ 0,0,"/ / / ",875,1275/ 1275,0/ 0|/ |/ |/ |,0/ 0,0/ 0,0/ 0,,,.,2/ .,/ |/ |/ |/ |,0/ 0,0,0,0,,,,,,,,AH781092,AAB375346,OSOBNÍ,RSV,PROVOZOVANÉ,26,,,,False,False,False,False,,,,,,0,0,387554/1,,,,,1985,,0,0,,,,Neuvedeno,
1971-12-08,1971-12-08,780,,OSOBNÍ AUTOMOBIL,.,M1,.,"VAZ 2101 / ",,,168825,.,.,.,VAZ 2101,0 / 0,BA 96,1198,false,false,," / ",,0," /  / ",,,,,0 / 0 / 0,,,,.,.,168825,HNĚDÁ-SVĚTLÁ,,2 / 2 / 0,0/ 0/ 0,0,"/ / / ",945,1345/ 1345,0/ 0|/ |/ |/ |,0/ 0,0/ 0,0/ 0,,,.,2/ .,/ |/ |/ |/ |,0/ 0,0,0,0,,,,,,,,AC819499,BAA744190,OSOBNÍ,RSV,PROVOZOVANÉ,27,,,,False,False,False,False,,,,,,0,0,172471,,,,,1971,,0,0,,,,Neuvedeno,
1981-01-01,1982-09-23,1046-001-76,,OSOBNÍ AUTOMOBIL,.,M1,.,"ŠKODA 105 L / ",,,C2475296,.,.,.,742.10,0 / 0,BA 90,1046,false,false,," / ",,0," /  / ",,,,,0 / 0 / 0,,,,.,.,C2475296,ŽLUTÁ-SVĚTLÁ,,2 / 2 / 0,0/ 0/ 0,0,"/ / / ",875,1275/ 1275,0/ 0|/ |/ |/ |,0/ 0,0/ 0,0/ 0,,,.,2/ .,/ |/ |/ |/ |,0/ 0,0,0,0,,,,,,,,AG477889,,OSOBNÍ,RSV,ZÁNIK,28,,,,False,False,False,False,,,,,,0,0,486846/1,,,,,1981,,0,0,,,TURNOV,Neuvedeno,
1978-01-01,1980-10-31,870,,OSOBNÍ AUTOMOBIL,.,M1,.,"VAZ 2103 / ",,,830266,.,.,.,VAZ 2103,0 / 0,BA 96,1452,false,false,," / ",,0," /  / ",,,,,0 / 0 / 0,,,,.,.,830266,HNĚDÁ-ZÁKLADNÍ,,5 / 5 / 0,0/ 0/ 0,0,"/ / / ",1020,1420/ 1420,0/ 0|/ |/ |/ |,0/ 0,0/ 0,0/ 0,,,.,2/ .,/ |/ |/ |/ |,0/ 0,0,0,0,,,,,,,,AE952916,,OSOBNÍ,RSV,VÝVOZ,29,,,,False,False,False,False,"vývoz do SR: Igor Flajžik,51.04.05/252,Nitra,   Škultétyho 14,SPZ nepřidělena,vozidlo nejede    po vlastní ose,OTP nevystaveno.",,,,,0,0,2925632,,,,,1978,,0,0,,,,Neuvedeno,
1971-01-01,1979-07-23,437,,OSOBNÍ AUTOMOBIL,.,M1,.,"TRABANT 601 / ",,,114718,.,.,.,P 60,0 / 0,BA 80,595,false,false,," / ",,0," /  / ",,,,,0 / 0 / 0,,,,.,.,114718,MODRÁ-ZÁKLADNÍ,,4 / 4 / 0,0/ 0/ 0,0,"/ / / ",615,950/ 950,0/ 0|/ |/ |/ |,0/ 0,0/ 0,0/ 0,,,.,2/ .,/ |/ |/ |/ |,0/ 0,0,0,0,,,,,,,,AC712383,,OSOBNÍ,RSV,PROVOZOVANÉ,30,,,,False,False,False,False,,,,,,0,0,5B386921,,,,,1971,,0,0,,,,Neuvedeno,
